MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,IsRemod,BltRemodDiff,BsmtUnfRatio
4.110873864173311,3,4.189654742026425,9.042040056544481,1,1,3,3,4,0,5,2,2,0,5,7,5,2003,2003,1,0,12,13,1,5.2832037287379885,2,4,2,2,4,3,2,6.561030665896572,6,0.0,5.017279836814924,856,1,0,1,4,6.75343791859778,6.75110146893676,0.0,7.444833273892193,1,0.0,2,1,3,0.6931471805599453,2,8,6,0,3,1,2003.0,2,2,548,5,5,2,0.0,4.127134385045092,0.0,0.0,0.0,0.0,3,4,1,0.0,2,2008,8,4,208500,869.5045393875346,0,0,0.005861308220578182
3.044522437723423,3,4.394449154672438,9.169622538697624,1,1,3,3,2,0,24,1,2,0,2,6,8,1976,1976,1,0,8,8,2,0.0,3,4,1,2,4,1,0,6.88653164253051,6,0.0,5.652489180268651,1262,1,0,1,4,7.141245122350491,0.0,0.0,7.141245122350491,0,0.6931471805599453,2,0,3,0.6931471805599453,3,6,6,1,5,1,1976.0,2,2,460,5,5,2,5.700443573390686,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,5,2007,8,4,181500,1269.1412451223505,0,0,0.004478993011306379
4.110873864173311,3,4.23410650459726,9.328212292571072,1,1,0,3,4,0,5,2,2,0,5,7,5,2001,2002,1,0,12,13,1,5.093750200806762,2,4,2,2,4,2,2,6.18826412308259,6,0.0,6.075346031088684,920,1,0,1,4,6.825460036255307,6.7650389767805414,0.0,7.488293515159428,1,0.0,2,1,3,0.6931471805599453,2,6,6,1,5,1,2001.0,2,2,608,5,5,2,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,3,4,1,0.0,9,2008,8,4,223500,933.5904990130358,1,1,0.006603636990313787
4.2626798770413155,3,4.110873864173311,9.164401140034737,1,1,0,3,0,0,6,2,2,0,5,7,5,1915,1970,1,0,13,15,2,0.0,3,4,0,4,1,3,0,5.37989735354046,6,0.0,6.293419278846481,756,1,2,1,4,6.8690144506657065,6.6293632534374485,0.0,7.4489161025442,1,0.0,1,0,3,0.6931471805599453,2,7,6,1,2,5,1998.0,3,3,642,5,5,2,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,3,4,1,0.0,2,2006,8,0,140000,769.4983777041032,1,55,0.008324628675722858
4.110873864173311,3,4.442651256490317,9.565283817736766,1,1,0,3,2,0,15,2,2,0,5,8,5,2000,2000,1,0,12,13,1,5.860786223465865,2,4,2,2,4,0,2,6.486160788944089,6,0.0,6.19644412779452,1145,1,0,1,4,7.044032897274684,6.960347729101308,0.0,7.695757990554761,1,0.0,2,1,4,0.6931471805599453,2,9,6,1,5,1,2000.0,2,3,836,5,5,2,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,3,4,1,0.0,12,2008,8,4,250000,1159.0043806263761,0,0,0.005411741596327092
3.9318256327243257,3,4.454347296253507,9.55506418479516,1,1,0,3,4,0,11,2,2,0,0,5,5,1993,1995,1,0,12,13,2,0.0,3,4,5,2,4,3,2,6.597145701886651,6,0.0,4.174387269895637,796,1,0,1,4,6.680854678790215,6.340359303727752,0.0,7.217443431696532,1,0.0,1,1,1,0.6931471805599453,3,5,6,0,3,1,1993.0,3,2,480,5,5,2,3.7135720667043075,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,3,2,3,6.55250788703459,10,2009,8,4,143000,809.0212139825179,1,2,0.005244205112934217
3.044522437723423,3,4.330733340286331,9.218804450388312,1,1,3,3,4,0,21,2,2,0,2,8,5,2004,2005,1,0,12,13,3,5.231108616854587,2,4,2,0,4,0,2,7.22256601882217,6,0.0,5.762051382780177,1686,1,0,1,4,7.43543801981455,0.0,0.0,7.43543801981455,1,0.0,2,0,3,0.6931471805599453,2,7,6,1,2,1,2004.0,2,2,636,5,5,2,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,3,4,1,0.0,8,2007,8,4,307000,1693.4354380198145,1,1,0.003417586822526795
4.110873864173311,3,4.2484952420493585,9.247925132303454,1,1,0,3,0,0,14,4,2,0,5,7,6,1973,1973,1,0,6,6,3,5.484796933490655,3,4,1,2,4,2,0,6.756932389247553,1,3.4965075614664802,5.37989735354046,1107,1,0,1,4,7.010311867307229,6.891625897052253,0.0,7.645397699428633,1,0.0,2,1,3,0.6931471805599453,3,7,6,2,5,1,1973.0,2,2,484,5,5,2,5.46383180502561,5.323009979138408,5.433722003554239,0.0,0.0,0.0,3,4,3,5.860786223465865,11,2009,8,4,200000,1120.9019377643597,0,0,0.004859889208256965
3.9318256327243257,4,3.951243718581427,8.71948076085107,1,1,3,3,4,0,17,0,2,0,0,7,5,1931,1950,1,0,3,15,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,6.859614903654202,952,1,2,1,1,6.930494765951626,6.6240652277998935,0.0,7.481555701909516,0,0.0,2,0,2,1.0986122886681096,3,8,2,2,5,5,1931.0,3,2,468,1,5,2,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,3,4,1,0.0,4,2008,8,0,129900,965.5545599937515,1,19,0.007205477839972901
5.25227342804663,3,3.9318256327243257,8.912069097970134,1,1,3,3,0,0,3,0,0,1,1,5,6,1939,1950,1,0,8,8,2,0.0,3,4,0,4,4,3,2,6.747586526829315,6,0.0,4.948759890378168,991,1,0,1,4,6.982862751468942,0.0,0.0,6.982862751468942,1,0.0,1,0,2,1.0986122886681096,3,5,6,2,5,1,1939.0,2,1,205,2,5,2,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,3,4,1,0.0,1,2008,8,4,118000,997.9828627514689,1,11,0.00499370321935234
3.044522437723423,3,4.2626798770413155,9.32375833901174,1,1,3,3,4,0,19,2,2,0,2,5,5,1965,1965,3,0,6,6,2,0.0,3,4,1,4,4,3,5,6.810142450115136,6,0.0,4.90527477843843,1040,1,0,1,4,6.947937068614968,0.0,0.0,6.947937068614968,1,0.0,1,0,3,0.6931471805599453,3,5,6,0,3,5,1965.0,3,1,384,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,2,2008,8,4,129500,1046.947937068615,0,0,0.0047166103638831055
4.110873864173311,3,4.454347296253507,9.386392315756542,1,1,0,3,4,0,16,2,2,0,5,9,5,2005,2006,3,0,14,15,3,5.6594822157596205,0,4,2,0,4,3,2,6.906754778648553,6,0.0,5.181783550292085,1175,1,0,1,4,7.075808863978387,7.04141166379481,0.0,7.751475318021456,1,0.0,3,0,4,0.6931471805599453,0,11,6,2,2,3,2005.0,0,3,736,5,5,2,4.997212273764115,3.0910424533583156,0.0,0.0,0.0,0.0,3,4,1,0.0,7,2006,6,5,345000,1189.1172205277733,1,1,0.004410028553440072
3.044522437723423,3,4.2484952420493585,9.470317173335742,1,1,1,3,4,0,19,2,2,0,2,5,6,1962,1962,3,0,6,10,2,0.0,3,4,1,4,4,3,0,6.6039438246004725,6,0.0,5.170483995038151,912,1,4,1,4,6.816735880594968,0.0,0.0,6.816735880594968,1,0.0,1,0,2,0.6931471805599453,3,4,6,0,3,5,1962.0,3,1,352,5,5,2,4.948759890378168,0.0,0.0,0.0,5.176149732573829,0.0,3,4,1,0.0,9,2008,8,4,144000,918.8167358805949,0,0,0.00566939034543657
3.044522437723423,3,4.5217885770490405,9.273596821611196,1,1,0,3,4,0,5,2,2,0,2,7,5,2006,2007,1,0,12,13,3,5.726847747587197,2,4,2,2,4,0,6,0.0,6,0.0,7.3098814858247865,1494,1,0,1,4,7.3098814858247865,0.0,0.0,7.3098814858247865,0,0.0,2,0,3,0.6931471805599453,2,7,6,1,2,1,2006.0,2,3,840,5,5,2,5.081404364984463,3.526360524616161,0.0,0.0,0.0,0.0,3,4,1,0.0,8,2007,6,5,279500,1501.3098814858247,1,1,0.004892825626388746
3.044522437723423,3,4.2484952420493585,9.298442820197728,1,1,0,3,0,0,12,2,2,0,2,6,5,1960,1960,3,0,8,8,1,5.361292165709425,3,4,1,4,4,3,1,6.598509028614515,6,0.0,6.255750041753367,1253,1,4,1,4,7.1340937211928654,0.0,0.0,7.1340937211928654,1,0.0,1,1,2,0.6931471805599453,3,5,6,1,1,1,1960.0,2,1,352,5,5,2,0.0,5.365976015021851,5.176149732573829,0.0,0.0,0.0,3,1,1,0.0,5,2008,8,4,157000,1260.1340937211928,0,0,0.004992617750800772
3.828641396489095,4,3.951243718581427,8.71948076085107,1,1,3,3,0,0,3,2,2,0,1,7,8,1929,2001,1,0,13,14,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,6.725033642166842,832,1,0,1,0,6.75110146893676,0.0,0.0,6.75110146893676,0,0.0,1,0,2,0.6931471805599453,3,5,6,0,3,5,1991.0,3,2,576,5,5,2,3.8918202981106265,4.727387818712341,0.0,0.0,0.0,0.0,3,0,1,0.0,7,2007,8,4,132000,838.7511014689368,1,72,0.008082973127604377
3.044522437723423,3,4.2484952420493585,9.32741204356202,1,1,0,3,1,0,12,2,2,0,2,6,7,1970,1970,1,0,13,14,1,5.198497031265825,3,4,1,4,4,3,0,6.361302477572995,6,0.0,6.056784013228624,1004,1,0,1,4,6.912742820493176,0.0,0.0,6.912742820493176,1,0.0,1,0,2,0.6931471805599453,3,5,6,1,5,1,1970.0,0,2,480,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,6.55250788703459,3,2010,8,4,149000,1010.9127428204931,0,0,0.006032653399630103
4.51085950651685,3,4.290459441148391,9.286560397887591,1,1,3,3,4,0,19,2,2,2,2,4,5,1967,1967,1,0,8,8,2,0.0,3,4,3,3,2,4,4,0.0,4,0.0,0.0,0,1,4,1,4,7.167809184316444,0.0,0.0,7.167809184316444,0,0.0,2,0,2,1.0986122886681096,3,6,6,0,3,4,1967.0,3,2,516,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,6.2166061010848646,10,2006,8,4,90000,7.167809184316444,0,0,0.0
3.044522437723423,3,4.204692619390966,9.524859098381523,1,1,3,3,4,0,20,5,2,0,2,5,5,2004,2004,1,0,12,13,2,0.0,3,4,2,4,4,3,2,6.4723462945009,6,0.0,6.150602768446279,1114,1,0,1,4,7.0166096838942185,0.0,0.0,7.0166096838942185,1,0.0,1,1,3,0.6931471805599453,2,6,6,0,3,5,2004.0,3,2,576,5,5,2,0.0,4.634728988229636,0.0,0.0,0.0,0.0,3,4,1,0.0,6,2008,8,4,159000,1121.0166096838943,0,0,0.00552118740435034
3.044522437723423,3,4.2626798770413155,8.93075873555827,1,1,3,3,4,0,12,2,2,0,2,5,6,1958,1965,3,0,3,10,2,0.0,3,4,1,4,4,3,3,6.224558429275359,6,0.0,6.265301212737709,1029,1,4,1,4,7.200424892944957,0.0,0.0,7.200424892944957,0,0.0,1,0,3,0.6931471805599453,3,6,2,0,3,1,1958.0,3,1,294,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0.0,5,2009,0,0,139000,1036.200424892945,1,7,0.006088728097898648
4.110873864173311,3,4.624972813284271,9.562123369834486,1,1,0,3,0,0,16,2,2,0,5,8,5,2005,2006,1,0,12,13,1,5.9427993751267,2,4,2,0,4,0,6,0.0,6,0.0,7.055312843339752,1158,1,0,1,4,7.055312843339752,7.105786129481271,0.0,7.773594467360193,0,0.0,3,1,4,0.6931471805599453,2,9,6,1,2,3,2005.0,2,3,853,5,5,2,5.484796933490655,5.043425116919247,0.0,0.0,0.0,0.0,3,4,1,0.0,11,2006,6,5,325300,1172.161098972821,1,1,0.00609267084917077
3.828641396489095,4,4.060443010546419,8.915969311373605,1,0,3,0,4,0,9,2,2,0,1,7,7,1930,1950,1,0,13,14,2,0.0,3,4,2,4,4,3,6,0.0,6,0.0,6.45833828334479,637,1,0,1,1,7.0112139873503665,0.0,0.0,7.0112139873503665,0,0.0,1,0,3,0.6931471805599453,2,6,6,1,2,1,1930.0,3,1,280,5,5,0,0.0,0.0,5.327876168789581,0.0,0.0,0.0,3,0,1,0.0,6,2007,8,4,139400,644.0112139873504,1,20,0.01013867862377518
3.044522437723423,3,4.330733340286331,9.184304357425342,1,1,3,3,4,0,5,2,2,0,2,8,5,2002,2002,3,0,12,13,1,5.641907070938114,2,4,2,2,4,3,6,0.0,6,0.0,7.48324441607385,1777,1,0,1,4,7.4933172488621445,0.0,0.0,7.4933172488621445,0,0.0,2,0,3,0.6931471805599453,2,7,6,1,2,1,2002.0,2,2,534,5,5,2,5.147494476813453,5.075173815233827,0.0,0.0,0.0,0.0,3,4,1,0.0,9,2008,8,4,230000,1784.4933172488622,0,0,0.0042111673697658135
4.795790545596741,4,3.8066624897703196,8.348774539791274,1,1,3,3,4,0,10,2,2,4,2,5,7,1976,1976,1,0,5,5,2,0.0,3,4,2,2,4,3,2,6.734591659972947,6,0.0,5.303304908059076,1040,1,4,1,4,6.966967138613983,0.0,0.0,6.966967138613983,1,0.0,1,0,3,0.6931471805599453,3,6,6,1,5,1,1976.0,3,2,572,5,5,2,4.61512051684126,4.709530201312334,0.0,0.0,0.0,0.0,3,4,1,0.0,6,2007,8,4,129900,1046.9669671386139,0,0,0.005099331642364496
